Job Category,JobCount
"Engineering, Architecture, & Planning",497
"Technology, Data & Innovation",312
Legal Affairs,224
"Public Safety, Inspections, & Enforcement",179
Building Operations & Maintenance,177
"Finance, Accounting, & Procurement",168
Administration & Human Resources,131
Constituent Services & Community Programs,129
Health,125
"Policy, Research & Analysis",124
"Finance, Accounting, & Procurement Policy, Research & Analysis",63
Social Services,62
"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",60
"Engineering, Architecture, & Planning Policy, Research & Analysis",31
"Engineering, Architecture, & Planning Technology, Data & Innovation",31
"Technology, Data & Innovation Policy, Research & Analysis",28
Information Technology & Telecommunications,28
"Legal Affairs Policy, Research & Analysis",25
"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",25
Communications & Intergovernmental Affairs,24
"Health Policy, Research & Analysis",23
"Health Public Safety, Inspections, & Enforcement",21
"Administration & Human Resources Policy, Research & Analysis",20
"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",17
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",14
Clerical & Administrative Support,13
"Administration & Human Resources Public Safety, Inspections, & Enforcement",13
"Communications & Intergovernmental Affairs Policy, Research & Analysis",13
Administration & Human Resources Legal Affairs,11
"Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",10
"Constituent Services & Community Programs Policy, Research & Analysis",10
"Technology, Data & Innovation Social Services",10
"Public Safety, Inspections, & Enforcement Social Services",9
"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",9
"Administration & Human Resources Finance, Accounting, & Procurement",9
"Engineering, Architecture, & Planning Building Operations & Maintenance",9
"Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",8
"Constituent Services & Community Programs Policy, Research & Analysis Social Services",8
Maintenance & Operations,8
Constituent Services & Community Programs Social Services,8
Constituent Services & Community Programs Communications & Intergovernmental Affairs,8
Administration & Human Resources Building Operations & Maintenance,7
"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",6
Administration & Human Resources Social Services,6
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis Social Services",6
"Administration & Human Resources Technology, Data & Innovation",6
"Health Technology, Data & Innovation",6
"Constituent Services & Community Programs Engineering, Architecture, & Planning",6
"Policy, Research & Analysis Social Services",5
Administration & Human Resources Constituent Services & Community Programs,5
"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",5
"Legal Affairs Public Safety, Inspections, & Enforcement",5
"Health Policy, Research & Analysis Public Safety, Inspections, & Enforcement",4
"Finance, Accounting, & Procurement Legal Affairs",4
Health Legal Affairs,4
"Administration & Human Resources Legal Affairs Policy, Research & Analysis",4
Community & Business Services Social Services,4
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",4
"Technology, Data & Innovation Legal Affairs",4
Administration & Human Resources Constituent Services & Community Programs Social Services,4
Clerical & Administrative Support Legal,3
"Finance, Accounting, & Procurement Technology, Data & Innovation",3
Community & Business Services,3
"Administration & Human Resources Building Operations & Maintenance Policy, Research & Analysis",2
