Job Category,Max_Salary,Min_Salary
"Administration & Human Resources Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",100000.0,90000.0
"Health Policy, Research & Analysis Public Safety, Inspections, & Enforcement",180000.0,82008.0
"Administration & Human Resources Building Operations & Maintenance Policy, Research & Analysis",83981.0,54100.0
"Finance, Accounting, & Procurement Public Safety, Inspections, & Enforcement",70390.0,55659.0
Information Technology & Telecommunications Policy & Analysis Social Services,85644.0,68239.0
"Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",118610.0,11860.64
"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",168433.0,54165.0
"Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance Policy, Research & Analysis",60660.0,45491.0
Constituent Services & Community Programs,156829.0,2728.0
Building Operations & Maintenance,234402.0,2728.0
"Engineering, Architecture, & Planning Policy, Research & Analysis Public Safety, Inspections, & Enforcement",186555.0,69940.0
"Constituent Services & Community Programs Policy, Research & Analysis Social Services",81535.0,52524.0
"Administration & Human Resources Technology, Data & Innovation Building Operations & Maintenance",75591.0,65731.0
Legal Affairs,208826.0,3505.5504
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Policy, Research & Analysis",3502.3999999999996,2728.0
"Finance, Accounting, & Procurement Legal Affairs",133040.0,38851.0
"Constituent Services & Community Programs Technology, Data & Innovation Policy, Research & Analysis Social Services",2728.0,2728.0
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",3502.3999999999996,2728.0
Health Legal Affairs,81801.0,61237.0
Administration & Human Resources Social Services,58987.0,4915.0992
"Administration & Human Resources Legal Affairs Policy, Research & Analysis",65000.0,45000.0
"Public Safety, Inspections, & Enforcement Social Services",74672.0,43799.0
Maintenance & Operations,65458.8,6160.0
"",162014.0,42405.0
Constituent Services & Community Programs Building Operations & Maintenance,62834.0,54638.0
"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",81535.0,38851.0
"Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance",218587.0,218587.0
